2011Zones,Public Transport Mean Indicator Minutes
Baillieston East - 03,11.2
Baillieston East - 04,13.1
Baillieston East - 05,5.8
Baillieston East - 06,9.3
Baillieston West - 01,11.2
Baillieston West - 02,9
Baillieston West - 03,10.2
Baillieston West - 04,5.2
Baillieston West - 05,10
Balbridgeburn North,14.4
Balbridgeburn South,12.7
Balerno and Bonnington Village - 01,22.4
Balerno and Bonnington Village - 02,17.6
Balerno and Bonnington Village - 03,18.7
Balerno and Bonnington Village - 04,16.6
Balerno and Bonnington Village - 05,16.2
Balerno and Bonnington Village - 06,14.3
Balerno and Bonnington Village - 07,16.2
Balerno and Bonnington Village - 08,13
Balfarg,6.5
Balfarg South,4.9
Balfron and Drymen - 01,3.7
Balfron and Drymen - 02,15.6
Balfron and Drymen - 03,7.6
Balfron and Drymen - 04,2.8
Balfron and Drymen - 05,8.5
Balfron and Drymen - 06,7.6
Balgay - 01,5.1
Balgay - 02,3
Balgay - 03,7.5
Balgay - 04,6.8
Balgay - 05,7.7
Balgeddie North,14.3
Balgeddie South,16.7
Balgownie and Donmouth East - 01,7.5
Balgownie and Donmouth East - 02,7
Balgownie and Donmouth East - 03,5.3
Balgownie and Donmouth East - 04,6.2
Balgownie and Donmouth West - 01,10.7
Balgownie and Donmouth West - 02,8.1
Balgownie and Donmouth West - 03,8.3
Balgownie and Donmouth West - 04,7.7
Balgownie and Donmouth West - 05,5
Balgownie and Donmouth West - 06,5
Balgreen and Roseburn - 01,5.8
Balgreen and Roseburn - 02,4.2
Balgreen and Roseburn - 03,5.8
Balgreen and Roseburn - 04,6.6
Balgreen and Roseburn - 05,5.8
Balgreen and Roseburn - 06,3
Ballingry Central,6.1
Ballingry East,7
Ballingry South,6.1
Ballingry West,7
Balloch - 01,2.8
Balloch - 02,4.2
Balloch - 03,5.4
Balloch - 04,6.6
Balloch - 05,5.5
Balloch - 06,7.6
Balloch - 07,10.3
Balloch - 08,9
Balloch - 09,11.6
Balloch East - 01,10.6
Balloch East - 02,11.4
Balloch East - 03,11.1
Balloch East - 04,12.3
Balloch West - 01,9.1
Balloch West - 02,10.8
Balloch West - 03,11.1
Balloch West - 04,8.1
Balloch West - 05,10.6
Balmalloch - 01,6.2
Balmalloch - 02,7.3
Balmalloch - 03,5.4
Balmalloch - 04,8.7
Balmalloch - 05,6.5
Balmalloch - 06,10.7
Balmedie and Potterton - 01,25
Balmedie and Potterton - 02,23.1
Balmedie and Potterton - 03,25
Balmedie and Potterton - 04,23.3
Balmedie and Potterton - 05,23.3
Balmedie and Potterton - 06,20.3
Balmullo North,11
Balmullo South,4.5
