2011Zones,Public Transport Mean Indicator Minutes
Heriot - Fountainhall - Stow Landward,30
High Blantyre - 01,12.9
High Blantyre - 02,12.9
High Blantyre - 03,10.9
High Blantyre - 04,7.6
High Blantyre - 05,11.5
High Blantyre - 06,6.5
High Blantyre - 07,11.1
High Bonnybridge and Greenhill - 01,13.7
High Bonnybridge and Greenhill - 02,19.1
High Bonnybridge and Greenhill - 03,18.1
High Bonnybridge and Greenhill - 04,16.7
High Bonnybridge and Greenhill - 05,15.5
High Crosshill - 01,13.3
High Crosshill - 02,6.3
High Crosshill - 03,7.8
High Crosshill - 04,6.7
High Valleyfield East,4
High Valleyfield West,5.3
Highland - 01,13.1
Highland - 02,37.9
Highland - 03,35.6
Highland - 04,14.1
Highland - 05,45.3
Hill of Beath,9.3
Hill of Beath and Landward,9.3
Hillend,8.9
Hillhead - 01,7.8
Hillhead - 01,4.8
Hillhead - 02,8.1
Hillhead - 02,4
Hillhead - 03,10.5
Hillhead - 03,4.7
Hillhead - 04,11.8
Hillhead - 04,6.6
Hillhead - 05,10.8
Hillhead - 05,2.1
Hillhead - 06,2.6
Hillhead - 07,5.3
Hillhouse - 01,7.1
Hillhouse - 02,5.5
Hillhouse - 03,9.3
Hillhouse - 04,8.3
Hillhouse - 05,7.1
Hillington - 01,7.1
Hillington - 02,7.2
Hillington - 03,2.5
Hillington - 04,2.7
Hillpark - 01,10
Hillpark - 02,6.2
Hillpark - 03,5.5
Hillpark - 04,3.4
Hillpark - 05,4.2
Hillside - 01,17.7
Hillside - 02,20.9
Hillside - 03,25.9
Hillside - 04,25.7
Hillside - 05,29.4
Hillside and Calton Hill - 01,7.4
Hillside and Calton Hill - 02,4.4
Hillside and Calton Hill - 03,2.5
Hillside and Calton Hill - 04,6.1
Hillside and Calton Hill - 05,3.7
Hillside and Calton Hill - 06,4.4
Hillside and Calton Hill - 07,6
Hilltown - 01,5
Hilltown - 02,3.5
Hilltown - 03,2.9
Hilltown - 04,4.4
Hilltown - 05,2.7
Hilltown - 06,3.7
"Hillyland, Tulloch and Inveralmond - 01",13.1
"Hillyland, Tulloch and Inveralmond - 02",10.5
"Hillyland, Tulloch and Inveralmond - 03",15
"Hillyland, Tulloch and Inveralmond - 04",14.5
"Hillyland, Tulloch and Inveralmond - 05",16.3
"Hillyland, Tulloch and Inveralmond - 06",14.9
"Hillyland, Tulloch and Inveralmond - 07",14.8
"Hillyland, Tulloch and Inveralmond - 08",19.6
Hilton - 01,10.2
Hilton - 02,10.6
Hilton - 03,11.9
Hilton - 04,9.6
Hilton - 05,9.7
Hilton - 06,7
Hilton - 07,6.3
Hilton - 08,6.9
Holmston and Forehill - 01,12.5
Holmston and Forehill - 02,6.9
Holmston and Forehill - 03,7.8
Holmston and Forehill - 04,10.1
Holmston and Forehill - 05,13.8
Holmston and Forehill - 06,10.9
Holmston and Forehill - 07,14.7
Holytown - 01,5.1
Holytown - 02,6.6
Holytown - 03,4.6
Holytown - 04,3.9
Holytown - 05,4.6
Holytown - 06,4.8
Holytown - 07,5
Holytown - 08,4
Houston North - 01,17.4
Houston North - 02,14.2
Houston North - 03,9
Houston North - 04,8.1
Houston South - 01,12.5
Houston South - 02,14.5
Houston South - 03,12.8
Houston South - 04,14.3
Howden - 01,7.7
Howden - 02,8
Howden - 03,9
Howden - 04,11.7
Howden - 05,6.6
Howden - 06,8
Howe of Alford - 01,23.4
Howe of Alford - 02,23
Howe of Alford - 03,4.7
Howe of Alford - 04,7.3
Howe of Alford - 05,6.4
Howe of Alford - 06,8.6
Howe of Alford - 07,21.9
Howe of Alford - 08,16.7
Howe of Alford - 09,23.1
Hunter's Quay - 01,9.8
Hunter's Quay - 02,12.6
Hunter's Quay - 03,8.3
Hunter's Quay - 04,6.6
Hunter's Quay - 05,6.8
Hunter's Quay - 06,6.6
Hunter's Quay - 07,5.3
Huntly - 01,6.8
Huntly - 02,10.4
Huntly - 03,5.2
Huntly - 04,4.2
Huntly - 05,9
Hyvots and Gilmerton - 01,7.3
Hyvots and Gilmerton - 02,7.6
Hyvots and Gilmerton - 03,8.7
Hyvots and Gilmerton - 04,8.7
Hyvots and Gilmerton - 05,5.3
Ibrox - 01,7.6
Ibrox - 02,6.4
Ibrox - 03,7
Ibrox East and Cessnock - 01,4.6
Ibrox East and Cessnock - 02,2.3
Ibrox East and Cessnock - 03,3.4
Ibrox East and Cessnock - 04,4.8
Innerleithen - East,13.8
Innerleithen - North,16.8
Innerleithen - South,8.4
Innerleithen - West,10.5
"Insch, Oyne and Ythanwells - 01",23.8
"Insch, Oyne and Ythanwells - 02",16.9
"Insch, Oyne and Ythanwells - 03",33.4
"Insch, Oyne and Ythanwells - 04",10.1
"Insch, Oyne and Ythanwells - 05",5.8
Invergordon - 01,13.9
Invergordon - 02,16.6
Invergordon - 03,13.4
Invergordon - 04,13.9
Invergordon - 05,6.6
Invergordon - 06,9.7
"Invergowrie, Longforgan and Abernyte - 01",6
"Invergowrie, Longforgan and Abernyte - 02",18.6
"Invergowrie, Longforgan and Abernyte - 03",25.7
"Invergowrie, Longforgan and Abernyte - 04",6.8
Inverkeithing Belleknowes,8.8
Inverkeithing Jamestown,5.6
Inverkeithing North East,6.2
Inverkeithing Spencerfield North,7
Inverkeithing Spencerfield South,8.3
Inverkeithing Spittalfield,7.6
Inverkeithing West,6.2
Inverkip and Wemyss Bay - 01,12.6
Inverkip and Wemyss Bay - 02,16.6
Inverkip and Wemyss Bay - 03,9.4
Inverkip and Wemyss Bay - 04,6.3
Inverkip and Wemyss Bay - 05,6.5
Inverkip and Wemyss Bay - 06,13.3
Inverkip and Wemyss Bay - 07,13.5
Inverkip and Wemyss Bay - 08,20.4
"Inverleith, Goldenacre and Warriston - 01",11.9
"Inverleith, Goldenacre and Warriston - 02",6.7
"Inverleith, Goldenacre and Warriston - 03",8.5
"Inverleith, Goldenacre and Warriston - 04",5.5
Inverness Ballifeary and Dalneigh - 01,5.7
Inverness Ballifeary and Dalneigh - 02,4.3
Inverness Ballifeary and Dalneigh - 03,9.9
Inverness Ballifeary and Dalneigh - 04,16.4
Inverness Ballifeary and Dalneigh - 05,14.3
Inverness Ballifeary and Dalneigh - 06,14.2
"Inverness Central, Raigmore and Longman - 01",11.4
"Inverness Central, Raigmore and Longman - 02",4.9
"Inverness Central, Raigmore and Longman - 03",7.2
"Inverness Central, Raigmore and Longman - 04",17.8
"Inverness Central, Raigmore and Longman - 05",13.9
"Inverness Central, Raigmore and Longman - 06",15.8
Inverness Crown and Haugh - 01,5.7
Inverness Crown and Haugh - 02,3.6
Inverness Crown and Haugh - 03,8.8
Inverness Crown and Haugh - 04,3.9
Inverness Crown and Haugh - 05,3.8
Inverness Culloden and Balloch - 01,8.1
Inverness Culloden and Balloch - 02,4.3
Inverness Culloden and Balloch - 03,6.8
Inverness Culloden and Balloch - 04,8.9
Inverness Culloden and Balloch - 05,13.1
Inverness Culloden and Balloch - 06,13.8
Inverness Drakies - 01,9.2
Inverness Drakies - 02,5.4
Inverness Drakies - 03,5.8
Inverness Drummond - 01,5.3
Inverness Drummond - 02,6.2
Inverness Drummond - 03,8.3
Inverness Drummond - 04,10.5
Inverness Drummond - 05,13.5
Inverness East Rural - 01,46.8
Inverness East Rural - 02,23.3
Inverness East Rural - 03,31.5
Inverness East Rural - 04,17.5
Inverness East Rural - 05,4.6
Inverness Hilton - 01,7.3
Inverness Hilton - 02,5.6
Inverness Hilton - 03,4.1
Inverness Hilton - 04,10.4
Inverness Hilton - 05,11.3
Inverness Inshes - 01,34.6
Inverness Inshes - 02,31.8
Inverness Inshes - 03,11.4
Inverness Inshes - 04,12.5
Inverness Inshes - 05,15.4
Inverness Inshes - 06,17
Inverness Kinmylies and South West - 01,16.6
Inverness Kinmylies and South West - 02,7.7
Inverness Kinmylies and South West - 03,11.7
Inverness Kinmylies and South West - 04,7.8
Inverness Kinmylies and South West - 05,7.2
Inverness Lochardil and Holm Mains - 01,24.4
Inverness Lochardil and Holm Mains - 02,9.1
Inverness Lochardil and Holm Mains - 03,10.5
Inverness Lochardil and Holm Mains - 04,19
Inverness Lochardil and Holm Mains - 05,12.9
Inverness Lochardil and Holm Mains - 06,16
Inverness Lochardil and Holm Mains - 07,18.2
Inverness Merkinch - 01,9
Inverness Merkinch - 02,10.1
Inverness Merkinch - 03,12.9
Inverness Merkinch - 04,11.3
Inverness Muirtown - 01,9.8
Inverness Muirtown - 02,8.2
Inverness Muirtown - 03,7.7
Inverness Muirtown - 04,4.6
Inverness Muirtown - 05,7.8
Inverness Scorguie - 01,14
Inverness Scorguie - 02,14.7
Inverness Scorguie - 03,14.1
Inverness Scorguie - 04,13
Inverness Scorguie - 05,13.1
Inverness Slackbuie - 01,27.7
Inverness Slackbuie - 02,13.1
Inverness Slackbuie - 03,21.3
Inverness Smithton - 01,9.8
Inverness Smithton - 02,10.2
Inverness Smithton - 03,8.3
Inverness Smithton - 04,9
Inverness Smithton - 05,9.1
Inverness West Rural - 01,32.3
Inverness West Rural - 02,19.5
Inverness West Rural - 03,35.6
Inverness West Rural - 04,27.9
Inverness West Rural - 05,22.4
Inverness West Rural - 06,6.6
Inverness West Rural - 07,3.1
Inverness West Rural - 08,14.8
Inverness West Rural - 09,13
Inverness Westhill - 01,16.6
Inverness Westhill - 02,14.3
Inverness Westhill - 03,13.5
Inverness Westhill - 04,17.2
Inverness Westhill - 05,17.7
Inverness Westhill - 06,15.1
Inverness Westhill - 07,17.1
Inverness Westhill - 08,14.4
Inverurie North - 01,9.1
Inverurie North - 02,3.9
Inverurie North - 03,7.5
Inverurie North - 04,8.1
Inverurie North - 05,11
Inverurie North - 06,9.1
Inverurie North - 07,9.1
Inverurie North - 08,8.3
Inverurie South - 01,12
Inverurie South - 02,8.3
Inverurie South - 03,6.3
Inverurie South - 04,7.3
Inverurie South - 05,7.1
Inverurie South - 06,3.7
Inverurie South - 07,3.4
Irvine Bourtreehill - 01,9.6
Irvine Bourtreehill - 02,14.6
Irvine Bourtreehill - 03,15.5
Irvine Broomlands - 01,12.9
Irvine Broomlands - 02,10.2
Irvine Broomlands - 03,10.7
Irvine Broomlands - 04,8.6
Irvine Castlepark North - 01,12.9
Irvine Castlepark North - 02,10.4
Irvine Castlepark North - 03,10.1
Irvine Castlepark North - 04,6
Irvine Castlepark North - 05,8.6
Irvine Castlepark South - 01,6.1
Irvine Castlepark South - 02,5.4
Irvine Castlepark South - 03,3.6
Irvine Castlepark South - 04,5.8
Irvine Central - 01,7.5
Irvine Central - 02,6.6
Irvine Central - 03,4.4
Irvine Central - 04,4.6
Irvine East - 01,7.7
Irvine East - 02,6.7
Irvine East - 03,8.4
Irvine East - 04,7.1
Irvine Fullarton - 01,4.5
Irvine Fullarton - 02,10.8
Irvine Fullarton - 03,10.6
Irvine Fullarton - 04,10.1
Irvine Girdle Toll and Staneca - 01,12.1
Irvine Girdle Toll and Staneca - 02,9.3
Irvine Girdle Toll and Staneca - 03,10
Irvine Girdle Toll and Staneca - 04,8.6
Irvine Girdle Toll and Staneca - 05,6.5
Irvine Girdle Toll and Staneca - 06,13.5
Irvine Perceton and Lawthorn - 01,8.5
Irvine Perceton and Lawthorn - 02,7.6
Irvine Perceton and Lawthorn - 03,10.9
Irvine Perceton and Lawthorn - 04,9.4
Irvine Perceton and Lawthorn - 05,12.3
Irvine Perceton and Lawthorn - 06,17.6
Irvine Perceton and Lawthorn - 07,16
Irvine Tarryholme - 01,12.9
Irvine Tarryholme - 02,15.7
Irvine Tarryholme - 03,5.7
Irvine Tarryholme - 04,6.5
Isles - 01,25.8
Isles - 02,14.2
Isles - 03,16.8
Isles - 04,11.1
Isles - 05,15.3
Isles - 06,13.6
Jamphlars and Lochgelly Landward,11.2
Jedburgh - Abbey,5
Jedburgh - Doom Hill,9.9
Jedburgh - East Central,8.9
Jedburgh - Howden,9.9
Jedburgh - West Central,6.3
"Jewel, Brunstane and Newcraighall - 01",5
"Jewel, Brunstane and Newcraighall - 02",4.5
"Jewel, Brunstane and Newcraighall - 03",7.2
"Jewel, Brunstane and Newcraighall - 04",12.2
"Jewel, Brunstane and Newcraighall - 05",19.6
Johnstone North East - 01,4
Johnstone North East - 02,4.7
Johnstone North East - 03,5.5
Johnstone North East - 04,10.2
Johnstone North East - 05,8.2
Johnstone North West - 01,7.9
Johnstone North West - 02,5.9
Johnstone North West - 03,2.7
Johnstone North West - 04,3.5
Johnstone South East - 01,6.5
Johnstone South East - 02,9.5
Johnstone South East - 03,10.2
Johnstone South East - 04,8.3
Johnstone South East - 05,7
Johnstone South West - 01,9.1
Johnstone South West - 02,10.8
Johnstone South West - 03,10.4
Johnstone South West - 04,11.2
Johnstone South West - 05,15.6
Johnstone South West - 06,16.1
Joppa - 01,9.1
Joppa - 02,13.7
Joppa - 03,9.1
Joppa - 04,5.4
Joppa - 05,5.5
Joppa - 06,3.6
Keith and Fife Keith - 01,9.8
Keith and Fife Keith - 02,11.5
Keith and Fife Keith - 03,5.1
Keith and Fife Keith - 04,11.5
Keith and Fife Keith - 05,11
Kelso N - Abbotseat,5.5
Kelso N - Hendersyde Oakfield,8.7
Kelso N - High Croft Orchard Park,5.1
Kelso N - Poynder Park,3.5
Kelso S - Abbey,7.7
Kelso S - Bowmont and Edenside,6.1
Kelso S - Broomlands,8
Kelso S - Maxwellheugh,16
Kelso S - Pinnaclehill,14.5
Kelty Blairadam Park,4.9
Kelty Central,3.9
Kelty East,6.1
Kelty Elmwood,6.1
Kelty North East,3.2
Kelty Oakfield,3.9
Kelty Seafar,9.9
Kelty South West,5.9
Kelty West,6
Kelvindale - 01,8.6
Kelvindale - 02,9.4
Kelvindale - 03,7.4
Kelvindale - 04,9.6
Kelvindale - 05,9.8
Kelvindale - 06,5.5
Kelvingrove and University - 01,4.3
Kelvingrove and University - 02,6.2
Kelvingrove and University - 03,1.6
Kelvingrove and University - 04,3.4
Kelvingrove and University - 05,5.2
Kelvingrove and University - 06,3.2
Kelvingrove and University - 07,5.6
Kelvinside and Jordanhill - 01,8.2
Kelvinside and Jordanhill - 02,10.2
Kelvinside and Jordanhill - 03,9.3
Kelvinside and Jordanhill - 04,10.7
Kelvinside and Jordanhill - 05,7.6
Kelvinside and Jordanhill - 06,7.6
Kelvinside and Jordanhill - 07,8.5
Kemnay - 01,5.3
Kemnay - 02,5.7
Kemnay - 03,4.3
Kemnay - 04,7.5
Kemnay - 05,7.1
Kennoway Central,4.6
Kennoway East,5.3
Kennoway North East,7.4
Kennoway North West,6.9
Kennoway Sandy Brae,5
Kennoway South East,6.1
Keppochhill - 01,7.9
Keppochhill - 02,4.2
Keppochhill - 03,3.6
Keppochhill - 04,9
Keppochhill - 05,5.1
Keppochhill - 06,6.1
Kessington East - 01,8.5
Kessington East - 02,9.5
Kessington East - 03,10.1
Kessington East - 04,12.5
Kessington West - 01,7.2
Kessington West - 02,4.8
Kessington West - 03,10
Kessington West - 04,5.9
Kettlebridge and Rameldry,12.9
Keystone and Dougalston - 01,15.6
Keystone and Dougalston - 02,4.2
Keystone and Dougalston - 03,5.8
Keystone and Dougalston - 04,10.5
Keystone and Dougalston - 05,9.1
Kilbarchan - 01,14.1
Kilbarchan - 02,14
Kilbarchan - 03,12.4
Kilbarchan - 04,12.6
Kilbirnie North - 01,14.5
Kilbirnie North - 02,13.3
Kilbirnie North - 03,13.4
Kilbirnie North - 04,5.7
Kilbirnie North - 05,8
Kilbirnie South and Longbar - 01,6.1
Kilbirnie South and Longbar - 02,5.2
Kilbirnie South and Longbar - 03,5.1
Kilbirnie South and Longbar - 04,5.4
Kilbirnie South and Longbar - 05,4.9
Kildrum - 01,8
Kildrum - 02,7.1
Kildrum - 03,8.4
Kildrum - 04,9.2
Kildrum - 05,5.4
Kilmacolm Central - 01,3.3
Kilmacolm Central - 02,10.4
Kilmacolm Central - 03,5.7
"Kilmacolm, Quarriers, Greenock Upper East/Central - 01",8
"Kilmacolm, Quarriers, Greenock Upper East/Central - 02",13.3
"Kilmacolm, Quarriers, Greenock Upper East/Central - 03",10.3
"Kilmacolm, Quarriers, Greenock Upper East/Central - 04",11.5
"Kilmacolm, Quarriers, Greenock Upper East/Central - 05",11.1
Kilmany Rathillet and Logie,24.8
Kilmardinny East - 01,20
Kilmardinny East - 02,10.4
Kilmardinny East - 03,9.7
Kilmardinny East - 04,7.3
Kilmardinny West - 01,5.4
Kilmardinny West - 02,11.5
Kilmardinny West - 03,9.4
Kilmardinny West - 04,16.1
Kilmarnock South Central and Caprington - 01,14.2
Kilmarnock South Central and Caprington - 02,12.6
Kilmarnock South Central and Caprington - 03,14.5
Kilmarnock South Central and Caprington - 04,8.7
Kilmaurs - 01,5.8
Kilmaurs - 02,5.9
Kilmaurs - 03,5.5
Kilpatrick - 01,16.2
Kilpatrick - 02,10.4
Kilpatrick - 03,11.8
Kilpatrick - 04,13.4
Kilpatrick - 05,12.5
Kilpatrick - 06,4.8
Kilpatrick - 07,6.3
Kilrenny,7.2
Kilrymont and Langlands,8.7
Kilrymont East,5.7
Kilrymont West,4.8
Kilsyth Bogside - 01,10
Kilsyth Bogside - 02,6.8
Kilsyth Bogside - 03,5.9
Kilsyth Bogside - 04,9.2
Kilsyth East and Croy - 01,21.4
Kilsyth East and Croy - 02,12.2
Kilsyth East and Croy - 03,24.6
Kilsyth East and Croy - 04,13.6
Kilsyth East and Croy - 05,11.5
Kilsyth East and Croy - 06,9.5
Kilsyth East and Croy - 07,7.3
Kilsyth East and Croy - 08,7.7
Kilwinning Central and North - 01,4.5
Kilwinning Central and North - 02,6.9
Kilwinning Central and North - 03,4.9
Kilwinning Central and North - 04,6.8
Kilwinning Central and North - 05,7.4
Kilwinning Pennyburn - 01,10.9
Kilwinning Pennyburn - 02,11.1
Kilwinning Pennyburn - 03,11.2
Kilwinning Pennyburn - 04,9.8
Kilwinning West and Blacklands - 01,7
Kilwinning West and Blacklands - 02,7.9
Kilwinning West and Blacklands - 03,7.9
Kilwinning West and Blacklands - 04,5.5
Kilwinning West and Blacklands - 05,4.4
Kilwinning Whitehirst Park and Woodside - 01,11.4
Kilwinning Whitehirst Park and Woodside - 02,12.5
Kilwinning Whitehirst Park and Woodside - 03,12.8
Kilwinning Whitehirst Park and Woodside - 04,12.2
Kilwinning Whitehirst Park and Woodside - 05,12.5
Kilwinning Whitehirst Park and Woodside - 06,13.5
Kilwinning Whitehirst Park and Woodside - 07,14
Kilwinning Whitehirst Park and Woodside - 08,16.1
Kincardine East,6.7
Kincardine North and Tulliallan,8.6
Kincardine South,5.3
Kincardine West,6.6
"Kincorth, Leggart and Nigg North - 01",9.8
"Kincorth, Leggart and Nigg North - 02",6.9
"Kincorth, Leggart and Nigg North - 03",4.8
"Kincorth, Leggart and Nigg North - 04",8.5
"Kincorth, Leggart and Nigg North - 05",4.9
"Kincorth, Leggart and Nigg South - 01",13.9
"Kincorth, Leggart and Nigg South - 02",5.3
"Kincorth, Leggart and Nigg South - 03",5.5
"Kincorth, Leggart and Nigg South - 04",8.5
"Kincorth, Leggart and Nigg South - 05",10.9
Kingholm - 01,31.2
Kingholm - 02,25.2
Kingholm - 03,13
Kingholm - 04,7.5
Kinghorn Central,3.5
Kinghorn North,4.4
Kinghorn North West,6.9
Kinghorn South,7.1
Kinglassie East,10.9
Kinglassie West,9.3
King's Park and Torbrex - 01,9.6
King's Park and Torbrex - 02,7.6
King's Park and Torbrex - 03,13.5
King's Park and Torbrex - 04,8.1
King's Park and Torbrex - 05,4
Kingseat,9.3
Kingseathill,6.8
Kingskettle and Balmalcolm,12.4
Kingspark North - 01,6.9
Kingspark North - 02,6.2
Kingspark North - 03,5
Kingspark North - 04,7.5
Kingspark North - 05,10.6
Kingspark North - 06,8.2
Kingspark South - 01,12.1
Kingspark South - 02,9.2
Kingspark South - 03,10.9
Kingspark South - 04,8.1
Kingspark South - 05,10.3
Kingspark South - 06,8
Kingston West and Dumbreck - 01,7.3
Kingston West and Dumbreck - 02,4.6
Kingston West and Dumbreck - 03,8.7
Kingston West and Dumbreck - 04,13
Kingswells - 01,15.6
Kingswells - 02,5.4
Kingswells - 03,5.5
Kingswells - 04,6.2
Kingswells - 05,6
Kingswells - 06,8.4
Kinness Burn,5.4
Kinness Burn East,6.8
Kinness Burn West,7
Kinning Park and Festival Park - 01,5.7
Kinning Park and Festival Park - 02,3.7
Kinning Park and Festival Park - 03,5.5
Kinning Park and Festival Park - 04,4.9
Kinning Park and Festival Park - 05,2.9
Kinross - 01,4.6
Kinross - 02,5.4
Kinross - 03,7.8
Kinross - 04,10.7
Kinross - 05,8.2
Kintore - 01,10.6
Kintore - 02,9.2
Kintore - 03,8.8
Kintore - 04,9.2
Kintore - 05,5.2
Kintore - 06,8.4
Kintore - 07,22.3
Kintore - 08,10.4
Kintore - 09,23.3
Kintyre Trail - 01,21.6
Kintyre Trail - 02,13.3
Kintyre Trail - 03,18.9
Kintyre Trail - 04,12.8
Kippen and Fintry - 01,26.4
Kippen and Fintry - 02,18.3
Kippen and Fintry - 03,5.8
Kippen and Fintry - 04,18.9
Kirkcaldy Central,5.1
Kirkcaldy Central and East,6
Kirkcaldy Central North,5.9
Kirkcaldy Central South,3.5
Kirkcaldy Long Braes,9.2
Kirkcaldy Valley East,6
Kirkcaldy Valley West,6.8
Kirkcaldy Viewforth,10.2
Kirkcudbright - 01,4.9
Kirkcudbright - 02,6.1
Kirkcudbright - 03,7.3
Kirkcudbright - 04,10.8
Kirkcudbright - 05,17.6
Kirkcudbright - 06,23.5
Kirkcudbright - 07,26.9
Kirkcudbright - 08,18.9
Kirkintilloch South - 01,12.5
Kirkintilloch South - 02,9
Kirkintilloch South - 03,7
Kirkintilloch South - 04,6.3
Kirkintilloch West - 01,7.6
Kirkintilloch West - 02,8.4
Kirkintilloch West - 03,5.1
Kirkintilloch West - 04,5.5
Kirkintilloch West - 05,7.9
Kirkmuirhill and Blackwood - 01,9.3
Kirkmuirhill and Blackwood - 02,9.4
Kirkmuirhill and Blackwood - 03,5.8
Kirkmuirhill and Blackwood - 04,5.1
Kirkmuirhill and Blackwood - 05,5.7
Kirkmuirhill and Blackwood - 06,8.1
Kirkshaws - 01,14.1
Kirkshaws - 02,11.8
Kirkshaws - 03,16
Kirkshaws - 04,16.8
Kirkshaws - 05,16.2
Kirkshaws - 06,12.4
Kirkshaws - 07,11.4
Kirkton - 01,14.8
Kirkton - 02,12.5
Kirkton - 03,12.6
Kirkton - 04,5.6
Kirkton - 05,9.9
Kirkwood and Bargeddie - 01,14.5
Kirkwood and Bargeddie - 02,7.5
Kirkwood and Bargeddie - 03,2.7
Kirkwood and Bargeddie - 04,4.6
Kirkwood and Bargeddie - 05,14.8
Kirkwood and Bargeddie - 06,13.3
Kirkwood and Bargeddie - 07,14.1
Kirkwood and Bargeddie - 08,15.2
Kirkwood and Bargeddie - 09,14
Kirriemuir - 01,4.9
Kirriemuir - 02,6.6
Kirriemuir - 03,8.4
Kirriemuir - 04,3.6
Kirriemuir - 05,7.5
Kirriemuir - 06,7.2
Kirriemuir - 07,9.8
Kirriemuir - 08,11.5
Kirriemuir Landward - 01,16.2
Kirriemuir Landward - 02,34.4
Kirriemuir Landward - 03,28.4
Kirriemuir Landward - 04,13.7
Kirriemuir Landward - 05,15.1
Knapdale - 01,42.2
Knapdale - 02,22.6
Knapdale - 03,4.7
Knapdale - 04,7.4
Knightsridge - 01,11
Knightsridge - 02,9.9
Knightsridge - 03,10.6
Knightsridge - 04,16.7
Knightsridge - 05,10.3
Knightsridge - 06,9.3
Knightsridge - 07,10.9
Knightsridge and Deans North - 01,14
Knightsridge and Deans North - 02,16.3
Knightsridge and Deans North - 03,9.1
Knightsridge and Deans North - 04,8.8
Knightsridge and Deans North - 05,16.3
Knightswood East - 01,7.1
Knightswood East - 02,6.9
Knightswood East - 03,4.6
Knightswood East - 04,4
Knightswood East - 05,5.9
Knightswood Park East - 01,8.8
Knightswood Park East - 02,6.8
Knightswood Park East - 03,6.8
Knightswood Park East - 04,7.7
Knightswood Park East - 05,9.6
Knightswood Park West - 01,8.3
Knightswood Park West - 02,8.1
Knightswood Park West - 03,6.5
Knightswood Park West - 04,5.8
Knightswood Park West - 05,6.3
Knightswood West - 01,5
Knightswood West - 02,5.8
Knightswood West - 03,4.7
Knock Hill Landward,18.9
Ladybank,4.2
Ladybank Woods,5.1
Ladys Mill,10.8
Ladywell - 01,9.5
Ladywell - 01,8.4
Ladywell - 02,13.2
Ladywell - 02,6.3
Ladywell - 03,7.9
Ladywell - 03,10.5
Ladywell - 04,7.9
Ladywell - 04,5.6
Ladywell - 05,5.2
Ladywell - 05,8
Ladywell - 06,6.8
Ladywell - 07,10.3
Laighstonehall - 01,4.7
Laighstonehall - 02,4.4
Laighstonehall - 03,7.8
Laighstonehall - 04,8.9
Laighstonehall - 05,7.1
Lanark North East - 01,4.9
Lanark North East - 02,5.8
Lanark North East - 03,7.8
Lanark North East - 04,7.1
Lanark North West - 01,6.1
Lanark North West - 02,6.6
Lanark North West - 03,7.2
Lanark North West - 04,8.4
Lanark South - 01,16.9
Lanark South - 02,11.5
Lanark South - 03,6.8
Lanark South - 04,5
Lanark South - 05,7
Langholm and Eskdale - 01,27.5
Langholm and Eskdale - 02,4.9
Langholm and Eskdale - 03,5.3
Langholm and Eskdale - 04,8
Langholm and Eskdale - 05,10.9
Langlands West,6.4
Langside - 01,9.8
Langside - 02,8.1
Langside - 03,5.8
Langside - 04,6.1
Langside - 05,6.5
Langside - 06,4.8
Larbert - North Broomage and Inches - 01,9.1
Larbert - North Broomage and Inches - 02,10.7
Larbert - North Broomage and Inches - 03,12.2
Larbert - North Broomage and Inches - 04,11.3
Larbert - North Broomage and Inches - 05,7.8
Larbert - North Broomage and Inches - 06,7.5
Larbert - South Broomage and Village - 01,14.1
Larbert - South Broomage and Village - 02,5.8
Larbert - South Broomage and Village - 03,6.2
Larbert - South Broomage and Village - 04,6.4
Larbert - South Broomage and Village - 05,13
Largoward Landward,19.7
Largs Central and Cumbrae - 01,11.2
Largs Central and Cumbrae - 02,7.7
Largs Central and Cumbrae - 03,6.8
Largs Central and Cumbrae - 04,4.2
Largs Central and Cumbrae - 05,5.1
Largs Central and Cumbrae - 06,3.9
Largs Central and Cumbrae - 07,6.2
Largs North - 01,4
Largs North - 02,8.8
Largs North - 03,11
Largs North - 04,8.2
Largs North - 05,7.7
Largs South - 01,9.5
Largs South - 02,8.2
Largs South - 03,9.6
Largs South - 04,9.5
Largs South - 05,10
"Larkhall Central, Raploch, Millheugh and Burnhead - 01",6.9
"Larkhall Central, Raploch, Millheugh and Burnhead - 02",11.2
"Larkhall Central, Raploch, Millheugh and Burnhead - 03",9.1
"Larkhall Central, Raploch, Millheugh and Burnhead - 04",4.7
"Larkhall Central, Raploch, Millheugh and Burnhead - 05",5.2
Lauder - North,6.5
Lauder - South,6.4
Laurieston and Tradeston - 01,6.9
Laurieston and Tradeston - 02,7.8
Laurieston and Tradeston - 03,4.4
Laurieston and Tradeston - 04,7.2
Laurieston and Tradeston - 05,7.6
Laurieston and Tradeston - 06,7.1
Laurieston and Westquarter - 01,13.4
Laurieston and Westquarter - 02,12.9
Laurieston and Westquarter - 03,15.9
Laurieston and Westquarter - 04,15.6
Law - 01,6.8
Law - 01,13.2
Law - 02,10
Law - 02,5.1
Law - 03,4.4
Law - 03,5.1
Law - 04,5.8
Law - 04,3.6
Law - 05,8.6
Law - 05,5
Law - 06,7.9
Law - 06,5.5
Lawhead and Northbank,11.7
Leith (Albert Street) - 01,7
Leith (Albert Street) - 02,6.7
Leith (Albert Street) - 03,7.7
Leith (Albert Street) - 04,7
Leith (Hermitage and Prospect Bank) - 01,6
Leith (Hermitage and Prospect Bank) - 02,5.2
Leith (Hermitage and Prospect Bank) - 03,4.7
